내국인업종코드(SB_UPJONG_CD),성별(SEX_CCD),카드이용건수(USECT_CORR)
SB008,,15.09
SB007,M,5.03
SB016,F,5.03
SB008,M,65.39
SB051,M,30.18
SB044,F,10.06
SB005,,10.06
SB004,M,5.03
SB054,M,15.09
SB013,F,35.21
SB045,M,35.21
SB005,F,18.2
SB054,M,65.39
SB001,F,5.03
SB047,F,5.03
SB004,M,10.06
SB020,F,20.12
SB053,F,5.03
SB006,F,35.21
SB013,F,5.03
SB008,M,5.03
SB039,M,25.15
SB020,F,9.1
SB049,F,5.03
SB004,M,10.06
SB001,M,10.06
SB054,M,5.03
SB013,M,5.03
SB008,F,30.18
SB020,F,30.18
SB006,M,5.03
SB020,F,10.06
SB030,M,15.09
SB008,M,20.12
SB030,F,15.09
SB013,F,25.15
SB003,F,63.7
SB056,F,10.06
SB007,F,5.03
SB001,M,15.09
SB043,M,10.06
SB021,F,5.03
SB008,F,15.09
SB039,F,9.1
SB019,F,5.03
SB013,F,5.03
SB006,M,10.06
SB001,M,20.12
SB035,F,45.27
SB001,F,5.03
SB039,M,5.03
SB051,M,10.06
SB002,M,30.18
SB008,M,80.48
SB001,F,40.24
SB039,F,30.18
SB006,M,10.06
SB020,M,10.06
SB013,F,5.03
SB052,F,20.12
SB004,F,10.06
SB016,M,5.03
SB008,F,9.1
SB053,M,45.27
SB003,M,10.06
SB020,,5.03
SB020,M,5.03
SB006,M,5.03
SB007,F,10.06
SB016,M,5.03
SB001,M,5.03
SB001,M,35.21
SB001,M,5.03
SB008,M,10.06
SB016,M,10.06
SB006,F,15.09
SB005,M,10.06
SB016,F,20.12
SB042,F,5.03
SB001,M,10.06
SB001,F,20.12
SB020,M,5.03
SB001,M,54.6
SB016,F,5.03
SB020,F,40.24
SB007,M,20.12
SB033,F,25.15
SB016,M,75.45
SB020,F,30.18
SB025,F,40.24
SB016,F,5.03
SB007,M,10.06
SB005,M,35.21
SB047,M,15.09
SB013,M,5.03
SB007,M,10.06
SB049,M,15.09
SB001,M,40.24
SB054,F,10.06
SB001,M,25.15
SB044,M,5.03
SB039,F,60.36
SB008,F,25.15
SB008,M,35.21
SB054,M,160.96
SB054,M,15.09
SB001,F,109.2
SB025,M,5.03
SB006,,10.06
SB016,F,5.03
SB016,F,60.36
SB008,M,5.03
SB001,M,5.03
SB019,M,10.06
SB007,M,5.03
SB008,F,5.03
SB008,F,10.06
SB007,F,20.12
SB042,M,30.18
SB002,F,10.06
SB030,M,5.03
SB043,M,20.12
SB016,F,85.51
SB002,,5.03
SB008,F,5.03
SB016,F,5.03
SB019,F,5.03
SB030,M,25.15
SB002,F,5.03
SB007,F,45.27
SB008,F,10.06
SB051,M,25.15
SB005,M,352.1
SB004,M,5.03
SB020,F,15.09
SB013,F,10.06
SB039,M,18.2
SB039,M,10.06
SB001,F,10.06
SB001,F,5.03
SB030,F,45.27
SB054,M,20.12
SB020,F,5.03
SB004,F,5.03
SB058,,20.12
SB008,F,25.15
SB054,F,45.5
SB039,F,10.06
SB006,F,20.12
SB054,M,5.03
SB001,M,5.03
SB016,M,5.03
SB013,F,5.03
SB034,M,5.03
SB020,F,15.09
SB013,M,30.18
SB057,M,15.09
SB013,F,5.03
SB051,F,20.12
